Year,Economie,Secteur primaire,Secteur secondaire,Secteur tertiaire,Ménages,Transport,Chauffage et autres
1990,29064,991,16104,11969,23099,9180,13919
1991,29849,1048,16231,12570,24217,9432,14785
1992,29520,1038,15693,12789,24119,9452,14667
1993,28999,1059,14944,12996,23224,9258,13967
1994,28683,1020,15092,12571,22073,8969,13104
1995,29286,1041,15177,13068,23102,9071,14032
1996,30107,1072,15161,13875,23633,9094,14539
1997,29419,1012,14912,13495,22805,9345,13460
1998,30881,1054,15574,14253,23354,9483,13871
1999,30938,1027,15573,14338,23302,9698,13604
2000,31295,980,15746,14569,22419,9892,12527
2001,32346,1028,16315,15003,23143,9961,13182
2002,31006,1037,15980,13989,22589,9917,12672
2003,31290,1018,16148,14124,23081,9692,13389
2004,31854,986,16903,13965,22842,9476,13366
2005,32357,980,17237,14140,22975,9376,13599
2006,33061,982,17822,14257,22311,9200,13111
2007,32432,967,17378,14087,20854,9194,11660
2008,33478,948,17652,14878,21684,9173,12510
2009,32523,1006,17125,14392,21324,9062,12262
2010,33623,964,17746,14912,22346,9071,13275
2011,32653,954,17092,14607,19581,8928,10653
2012,33520,980,17271,15269,20689,8976,11713
2013,34061,1024,17447,15590,21566,9041,12525
2014,32293,1031,16752,14510,18969,9184,9786
2015,32054,1103,16001,14950,19814,9338,10476
2016,32619,1132,16315,15172,20403,9479,10923
2017,32447,1102,16295,15050,20000,9534,10466
2018,32152,1055,16110,14986,19027,9421,9606
2019,32437,1075,16127,15235,19091,9431,9660
2020,26918,1063,15701,10153,16945,8042,8903
