Year,Total,CO2,CH4,N2O,Gaz synthetiques,
1990,55.34,44.57,6.51,4.01,0.25,
1991,57.22,46.53,6.44,4.01,0.23,
1992,56.94,46.39,6.36,3.95,0.23,
1993,54.33,43.95,6.25,3.94,0.19,
1994,53.26,43.00,6.17,3.89,0.20,
1995,54.13,43.72,6.18,3.89,0.34,
1996,54.76,44.39,6.12,3.86,0.39,
1997,53.53,43.31,5.96,3.78,0.49,
1998,55.04,44.87,5.89,3.68,0.61,
1999,54.83,44.68,5.79,3.68,0.68,
2000,54.07,43.84,5.74,3.67,0.82,
2001,55.58,45.30,5.77,3.62,0.89,
2002,54.01,43.66,5.72,3.64,0.99,
2003,55.06,44.83,5.63,3.49,1.10,
2004,55.64,45.40,5.61,3.40,1.22,
2005,56.25,45.94,5.65,3.40,1.25,
2006,55.92,45.53,5.67,3.36,1.37,
2007,53.98,43.52,5.64,3.38,1.43,
2008,55.36,44.86,5.73,3.27,1.50,
2009,53.87,43.68,5.61,3.15,1.44,
2010,55.46,45.19,5.58,3.24,1.45,
2011,51.33,41.13,5.52,3.16,1.52,
2012,52.66,42.39,5.50,3.13,1.64,
2013,53.49,43.32,5.42,3.11,1.65,
2014,49.55,39.36,5.41,3.11,1.68,
2015,49.03,38.85,5.38,3.07,1.73,
2016,49.34,39.30,5.34,3.03,1.67,
2017,48.37,38.30,5.27,3.14,1.66,
2018,46.86,36.98,5.24,3.00,1.64,
2019,46.59,36.85,5.15,3.04,1.55,
2020,43.91,34.35,5.09,2.95,1.51,
2021,45.25,35.90,5.10,2.85,1.40,
