Year,Empreinte gaz à effet de serre,Émissions intérieures,Émissions liées aux importations
1990, 	 0, 	 0, 	 0
1991, 	 0, 	 0, 	 0
1992, 	 0, 	 0, 	 0
1993, 	 0, 	 0, 	 0
1994, 	 0, 	 0, 	 0
1995, 	 0, 	 0, 	 0
1996, 	 0, 	 0, 	 0
1997, 	 0, 	 0, 	 0
1998, 	 0, 	 0, 	 0
1999, 	 0, 	 0, 	 0
2000,	12346,	47409,	76056
2001,	13151,	48816,	82700
2002,	11725,	48045,	69205
2003,	11305,	48619,	64435
2004,	11280,	48248,	64557
2005,	11864,	48543,	70097
2006,	12307,	47707,	75370
2007,	11770,	45307,	72400
2008,	11272,	45973,	66749
2009,	11084,	45453,	65394
2010,	11782,	46562,	71259
2011,	12312,	43336,	79792
2012,	12422,	44263,	79959
2013,	12374,	45497,	78243
2014,	11638,	41880,	74506
2015,	11705,	42587,	74466
2016,	12113,	43036,	78095
2017,	11169,	37091,	74604
2018,	11570,	40161,	75543
2019,	11703,	40209,	76824
2020,	11006,	35843,	74217
2021,	11176,	36604,	75164
